,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,1514851200.0,24824.0,24824.0,24824.0,24824.0,285673487,0,0
1,1514937600.0,24922.69921875,24922.69921875,24922.69921875,24922.69921875,421035113,0,0
2,1515024000.0,25075.099609375,25075.099609375,25075.099609375,25075.099609375,361273375,0,0
3,1515110400.0,25295.900390625,25295.900390625,25295.900390625,25295.900390625,305122391,0,0
4,1515369600.0,25283.0,25283.0,25283.0,25283.0,278355041,0,0
5,1515456000.0,25385.80078125,25385.80078125,25385.80078125,25385.80078125,289067837,0,0
6,1515542400.0,25369.099609375,25369.099609375,25369.099609375,25369.099609375,296750186,0,0
7,1515628800.0,25574.69921875,25574.69921875,25574.69921875,25574.69921875,301754684,0,0
8,1515715200.0,25803.19921875,25803.19921875,25803.19921875,25803.19921875,320961508,0,0
9,1516060800.0,25792.900390625,25792.900390625,25792.900390625,25792.900390625,493733029,0,0
10,1516147200.0,26115.69921875,26115.69921875,26115.69921875,26115.69921875,456795707,0,0
11,1516233600.0,26017.80078125,26017.80078125,26017.80078125,26017.80078125,420043811,0,0
12,1516320000.0,26071.69921875,26071.69921875,26071.69921875,26071.69921875,505535687,0,0
13,1516579200.0,26214.599609375,26214.599609375,26214.599609375,26214.599609375,356291964,0,0
14,1516665600.0,26210.80078125,26210.80078125,26210.80078125,26210.80078125,381476063,0,0
15,1516752000.0,26252.099609375,26252.099609375,26252.099609375,26252.099609375,454733009,0,0
16,1516838400.0,26392.80078125,26392.80078125,26392.80078125,26392.80078125,359160627,0,0
17,1516924800.0,26616.69921875,26616.69921875,26616.69921875,26616.69921875,392901932,0,0
18,1517184000.0,26439.5,26439.5,26439.5,26439.5,357427120,0,0
19,1517270400.0,26076.900390625,26076.900390625,26076.900390625,26076.900390625,393504260,0,0
20,1517356800.0,26149.400390625,26149.400390625,26149.400390625,26149.400390625,381145181,0,0
21,1517443200.0,26186.69921875,26186.69921875,26186.69921875,26186.69921875,357257053,0,0
22,1517529600.0,25521.0,25521.0,25521.0,25521.0,462433953,0,0
23,1517788800.0,24345.80078125,24345.80078125,24345.80078125,24345.80078125,638326016,0,0
24,1517875200.0,24912.80078125,24912.80078125,24912.80078125,24912.80078125,758232539,0,0
25,1517961600.0,24893.30078125,24893.30078125,24893.30078125,24893.30078125,448665694,0,0
26,1518048000.0,23860.5,23860.5,23860.5,23860.5,593628300,0,0
27,1518134400.0,24190.900390625,24190.900390625,24190.900390625,24190.900390625,672736011,0,0
28,1518393600.0,24601.30078125,24601.30078125,24601.30078125,24601.30078125,414957262,0,0
29,1518480000.0,24640.400390625,24640.400390625,24640.400390625,24640.400390625,314500070,0,0
30,1518566400.0,24893.5,24893.5,24893.5,24893.5,379869889,0,0
31,1518652800.0,25200.400390625,25200.400390625,25200.400390625,25200.400390625,374439655,0,0
32,1518739200.0,25219.400390625,25219.400390625,25219.400390625,25219.400390625,353649052,0,0
33,1519084800.0,24964.80078125,24964.80078125,24964.80078125,24964.80078125,358925641,0,0
34,1519171200.0,24797.80078125,24797.80078125,24797.80078125,24797.80078125,382984500,0,0
35,1519257600.0,24962.5,24962.5,24962.5,24962.5,335453327,0,0
36,1519344000.0,25310.0,25310.0,25310.0,25310.0,294683488,0,0
37,1519603200.0,25709.30078125,25709.30078125,25709.30078125,25709.30078125,410343463,0,0
38,1519689600.0,25410.0,25410.0,25410.0,25410.0,386185183,0,0
39,1519776000.0,25029.19921875,25029.19921875,25029.19921875,25029.19921875,351269555,0,0
40,1519862400.0,24609.0,24609.0,24609.0,24609.0,453057669,0,0
41,1519948800.0,24538.099609375,24538.099609375,24538.099609375,24538.099609375,386781758,0,0
42,1520208000.0,24874.80078125,24874.80078125,24874.80078125,24874.80078125,328027678,0,0
43,1520294400.0,24884.099609375,24884.099609375,24884.099609375,24884.099609375,292777978,0,0
44,1520380800.0,24801.400390625,24801.400390625,24801.400390625,24801.400390625,327246185,0,0
45,1520467200.0,24895.19921875,24895.19921875,24895.19921875,24895.19921875,273641213,0,0
46,1520553600.0,25335.69921875,25335.69921875,25335.69921875,25335.69921875,315459542,0,0
47,1520812800.0,25178.599609375,25178.599609375,25178.599609375,25178.599609375,310462891,0,0
48,1520899200.0,25007.0,25007.0,25007.0,25007.0,395927945,0,0
49,1520985600.0,24758.099609375,24758.099609375,24758.099609375,24758.099609375,317085078,0,0
50,1521072000.0,24873.69921875,24873.69921875,24873.69921875,24873.69921875,284998571,0,0
51,1521158400.0,24946.5,24946.5,24946.5,24946.5,362740401,0,0
52,1521417600.0,24610.900390625,24610.900390625,24610.900390625,24610.900390625,304600212,0,0
53,1521504000.0,24727.30078125,24727.30078125,24727.30078125,24727.30078125,294183274,0,0
54,1521590400.0,24682.30078125,24682.30078125,24682.30078125,24682.30078125,292973775,0,0
55,1521676800.0,23957.900390625,23957.900390625,23957.900390625,23957.900390625,379353702,0,0
56,1521763200.0,23533.19921875,23533.19921875,23533.19921875,23533.19921875,417779599,0,0
57,1522022400.0,24202.599609375,24202.599609375,24202.599609375,24202.599609375,403647757,0,0
58,1522108800.0,23857.69921875,23857.69921875,23857.69921875,23857.69921875,470812174,0,0
59,1522195200.0,23848.400390625,23848.400390625,23848.400390625,23848.400390625,490140510,0,0
60,1522281600.0,24103.099609375,24103.099609375,24103.099609375,24103.099609375,346255293,0,0
61,1522627200.0,23644.19921875,23644.19921875,23644.19921875,23644.19921875,442504725,0,0
62,1522713600.0,24033.400390625,24033.400390625,24033.400390625,24033.400390625,338554011,0,0
63,1522800000.0,24264.30078125,24264.30078125,24264.30078125,24264.30078125,335577964,0,0
64,1522886400.0,24505.19921875,24505.19921875,24505.19921875,24505.19921875,296518991,0,0
65,1522972800.0,23932.80078125,23932.80078125,23932.80078125,23932.80078125,333818693,0,0
66,1523232000.0,23979.099609375,23979.099609375,23979.099609375,23979.099609375,298530757,0,0
67,1523318400.0,24408.0,24408.0,24408.0,24408.0,318707461,0,0
68,1523404800.0,24189.5,24189.5,24189.5,24189.5,250285647,0,0
69,1523491200.0,24483.0,24483.0,24483.0,24483.0,284729861,0,0
70,1523577600.0,24360.099609375,24360.099609375,24360.099609375,24360.099609375,290022169,0,0
71,1523836800.0,24573.0,24573.0,24573.0,24573.0,267654912,0,0
72,1523923200.0,24786.599609375,24786.599609375,24786.599609375,24786.599609375,303688689,0,0
73,1524009600.0,24748.099609375,24748.099609375,24748.099609375,24748.099609375,268228657,0,0
74,1524096000.0,24664.900390625,24664.900390625,24664.900390625,24664.900390625,342926280,0,0
75,1524182400.0,24462.900390625,24462.900390625,24462.900390625,24462.900390625,473139517,0,0
76,1524441600.0,24448.69921875,24448.69921875,24448.69921875,24448.69921875,289307489,0,0
77,1524528000.0,24024.099609375,24024.099609375,24024.099609375,24024.099609375,425705584,0,0
78,1524614400.0,24083.80078125,24083.80078125,24083.80078125,24083.80078125,388100636,0,0
79,1524700800.0,24322.30078125,24322.30078125,24322.30078125,24322.30078125,324545543,0,0
80,1524787200.0,24311.19921875,24311.19921875,24311.19921875,24311.19921875,361102931,0,0
81,1525046400.0,24163.099609375,24163.099609375,24163.099609375,24163.099609375,312153222,0,0
82,1525132800.0,24099.0,24099.0,24099.0,24099.0,335974189,0,0
83,1525219200.0,23925.0,23925.0,23925.0,23925.0,340248471,0,0
84,1525305600.0,23930.099609375,23930.099609375,23930.099609375,23930.099609375,330781352,0,0
85,1525392000.0,24262.5,24262.5,24262.5,24262.5,282797665,0,0
86,1525651200.0,24357.30078125,24357.30078125,24357.30078125,24357.30078125,266998363,0,0
87,1525737600.0,24360.19921875,24360.19921875,24360.19921875,24360.19921875,282621694,0,0
88,1525824000.0,24542.5,24542.5,24542.5,24542.5,320576067,0,0
89,1525910400.0,24739.5,24739.5,24739.5,24739.5,258668730,0,0
90,1525996800.0,24831.19921875,24831.19921875,24831.19921875,24831.19921875,229387388,0,0
91,1526256000.0,24899.400390625,24899.400390625,24899.400390625,24899.400390625,227684188,0,0
92,1526342400.0,24706.400390625,24706.400390625,24706.400390625,24706.400390625,251381836,0,0
93,1526428800.0,24768.900390625,24768.900390625,24768.900390625,24768.900390625,239119001,0,0
94,1526515200.0,24714.0,24714.0,24714.0,24714.0,282859935,0,0
95,1526601600.0,24715.099609375,24715.099609375,24715.099609375,24715.099609375,228292809,0,0
96,1526860800.0,25013.30078125,25013.30078125,25013.30078125,25013.30078125,266720636,0,0
97,1526947200.0,24834.400390625,24834.400390625,24834.400390625,24834.400390625,248107530,0,0
98,1527033600.0,24886.80078125,24886.80078125,24886.80078125,24886.80078125,333793054,0,0
99,1527120000.0,24811.80078125,24811.80078125,24811.80078125,24811.80078125,295108327,0,0
100,1527206400.0,24753.099609375,24753.099609375,24753.099609375,24753.099609375,222301700,0,0
101,1527552000.0,24361.400390625,24361.400390625,24361.400390625,24361.400390625,322937944,0,0
102,1527638400.0,24667.80078125,24667.80078125,24667.80078125,24667.80078125,276252332,0,0
103,1527724800.0,24415.80078125,24415.80078125,24415.80078125,24415.80078125,281659712,0,0
104,1527811200.0,24635.19921875,24635.19921875,24635.19921875,24635.19921875,281529075,0,0
105,1528070400.0,24813.69921875,24813.69921875,24813.69921875,24813.69921875,308420834,0,0
106,1528156800.0,24800.0,24800.0,24800.0,24800.0,262835296,0,0
107,1528243200.0,25146.400390625,25146.400390625,25146.400390625,25146.400390625,256194935,0,0
108,1528329600.0,25241.400390625,25241.400390625,25241.400390625,25241.400390625,296208899,0,0
109,1528416000.0,25316.5,25316.5,25316.5,25316.5,264511985,0,0
110,1528675200.0,25322.30078125,25322.30078125,25322.30078125,25322.30078125,230414456,0,0
